Time,Position,Percentage,Lots,Number
2024-01-29 17:37:00.851490,Short,29.0,6301.23,23078.0
2024-01-29 17:37:00.851490,Long,71.0,15179.05,52503.0
2024-01-29 17:37:08.145557,Short,29.0,6301.23,23078.0
2024-01-29 17:37:08.145557,Long,71.0,15179.05,52503.0
2024-01-29 17:37:15.379008,Short,29.0,6301.23,23078.0
2024-01-29 17:37:15.379008,Long,71.0,15179.05,52503.0
2024-01-29 17:37:22.690254,Short,29.0,6301.23,23078.0
2024-01-29 17:37:22.690254,Long,71.0,15179.05,52503.0
2024-01-29 17:37:30.626435,Short,29.0,6301.23,23078.0
2024-01-29 17:37:30.626435,Long,71.0,15179.05,52503.0
2024-01-29 17:37:37.827952,Short,29.0,6301.23,23078.0
2024-01-29 17:37:37.827952,Long,71.0,15179.05,52503.0
2024-01-29 17:37:44.897887,Short,29.0,6301.23,23078.0
2024-01-29 17:37:44.897887,Long,71.0,15179.05,52503.0
2024-01-29 17:37:51.686820,Short,30.0,6295.46,23082.0
2024-01-29 17:37:51.686820,Long,70.0,14964.32,52407.0
2024-01-29 17:37:58.935888,Short,30.0,6295.46,23082.0
2024-01-29 17:37:58.935888,Long,70.0,14964.32,52407.0
2024-01-29 17:38:05.789152,Short,30.0,6295.46,23082.0
2024-01-29 17:38:05.789152,Long,70.0,14964.32,52407.0
2024-01-29 17:38:13.759329,Short,30.0,6295.46,23082.0
2024-01-29 17:38:13.759329,Long,70.0,14964.32,52407.0
2024-01-29 17:38:21.110318,Short,30.0,6295.46,23082.0
2024-01-29 17:38:21.110318,Long,70.0,14964.32,52407.0
2024-01-29 17:38:28.195660,Short,30.0,6295.46,23082.0
2024-01-29 17:38:28.195660,Long,70.0,14964.32,52407.0
2024-01-29 17:38:35.547878,Short,30.0,6295.46,23082.0
